kraj,im1990,im1995,im2000,im2005,im2010,im2015,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
Albania,66013,71354,76695,64739,52784,57616,3281453,3106727,3121965,3082172,2901883,2896679
Andorra,38904,40525,42146,50298,52053,42082,54511,63854,65399,81223,84419,70473
Austria,793239,894893,996547,1136270,1275992,1492374,7706571,7972833,8050884,8234858,8391986,8544586
Belarus,1248977,1186282,1123586,1106982,1090378,1082905,10231983,10159731,9952055,9640616,9492122,9495826
Belgium,891537,885278,853369,870862,1052844,1387940,9978241,10161914,10268380,10561436,10929978,11299192
Bosnia and Herzegovina,56000,69476,82952,47272,38792,34803,4526996,3879278,3792878,3833377,3835258,3810416
Bulgaria,21510,32435,43360,61074,76287,102113,8821111,8358116,8000510,7682614,7407297,7149787
Channel Islands,61660,60519,64301,70941,77581,82307,140669,144050,148725,154298,159583,163692
Croatia,475438,674085,585298,579273,573248,576883,4776374,4616762,4428069,4378056,4316425,4240317
Czech Republic,110394,165592,220789,322540,397785,405093,10323701,10335556,10263010,10230877,10506617,10543186
Denmark,235189,303108,371026,440383,509740,572520,5140332,5232582,5338283,5417692,5550959,5669081
Estonia,381997,315755,249512,233701,217890,202348,1565320,1433076,1399145,1355662,1332089,1312558
Faeroe Islands,4285,2900,3593,4583,5096,5517,48031,44099,46491,48337,48567,48199
Finland,63255,99729,136203,192169,248135,315881,4986705,5108176,5176482,5246368,5367693,5503457
France,5897267,6087993,6278718,6737600,7196481,7784418,56943299,58224051,59387183,61241700,62961136,64395345
Germany,5936181,7464406,8992631,10299160,11605690,12005690,78958237,81612900,81895925,81246801,80435307,80688545
Gibraltar,8709,8381,8054,9211,10369,11065,26833,27285,27351,29080,30732,32217
Greece,618139,857850,1111665,1190707,1269749,1242514,10131737,10641169,10954032,11069662,11177509,10954617
Holy See,770,779,787,793,799,800,770,781,787,798,799,800
Hungary,347510,322234,296957,366787,436616,449632,10385061,10351994,10224113,10095964,10014633,9855023
Iceland,9584,12738,15892,25492,35091,37522,254830,267454,281214,296745,318042,329425
Ireland,227961,226892,350552,589046,730542,746260,3563106,3645333,3841574,4203700,4617334,4688465
Isle of Man,34769,36886,39002,41475,43447,45221,70312,72181,76806,80345,84327,87780
Italy,1428219,1774954,2121688,3954790,5787893,5788875,57007577,57120136,57147081,58657355,59588007,59797685
Latvia,646007,538093,430178,376725,313786,263126,2663985,2487988,2371481,2227559,2090519,1970503
Liechtenstein,10906,13311,15483,18898,22342,23493,28745,30833,33282,34852,36276,37531
Lithuania,349258,273587,214311,201209,160772,136036,3697393,3628079,3486373,3343268,3122835,2878405
Luxembourg,113795,126106,139750,150618,163142,249325,381787,408148,436107,457847,507889,567110
Malta,15077,17740,21521,24560,33084,41442,355707,372391,387180,397094,412064,418670
Monaco,20359,21060,21787,21312,21132,21042,29438,30700,32081,33808,36845,37731
Netherlands,1182263,1346164,1556337,1736127,1832510,1979486,14915139,15450803,15894016,16331646,16631571,16924929
Norway,192587,233302,292440,361144,526799,741813,4240375,4359788,4491572,4624388,4891251,5210967
Poland,1127771,964725,825251,722509,642417,619403,38195258,38591860,38486305,38463514,38574682,38611794
Portugal,435782,532822,651472,771184,762825,837257,9890319,10078431,10278542,10480085,10584837,10349803
Republic of Moldova,544162,367231,247828,173957,157668,142904,4364114,4339082,4201088,4157707,4084483,4068897
Romania,135825,135037,126949,145162,155982,226943,23489361,22965125,22128139,21407619,20298838,19511324
Russian Federation,11524948,11928927,11900297,11667588,11194710,11643276,147568552,148293265,146400951,143622566,143158099,143456918
San Marino,3310,3659,4045,4218,4399,4717,24045,25875,27420,29242,30690,31781
Serbia,99269,630221,856763,845120,826066,807441,9517670,9884146,9463306,9186685,9059046,8850975
Slovakia,41295,69323,116376,130491,146319,177190,5277709,5362950,5386065,5385192,5406896,5426258
Slovenia,178077,174419,171018,197276,253786,235966,2006520,1991487,1988652,1996522,2052480,2067526
Spain,821605,1020067,1657285,4107226,6280065,5852953,39192055,39764267,40749800,43854761,46601492,46121699
Sweden,788767,936022,1003798,1125790,1384929,1639771,8559107,8826720,8872284,9030163,9382297,9779426
Switzerland,1392282,1478829,1570756,1805437,2075182,2438702,6673920,7017042,7165581,7408608,7830534,8298663
The former Yugoslav Republic of Macedonia,95142,109343,125665,127667,129701,130730,1996227,1953544,2012051,2042894,2062443,2078453
Ukraine,6892920,6172338,5527087,5050302,4818767,4834898,51370009,50811673,48746269,46795313,45647497,44823765
United Kingdom of Great Britain and Northern Ireland,3650286,4155293,4730165,5926156,7604583,8543120,57110117,57903790,58867004,60210012,62716684,64715810
